Roll No	Number Obtained
2005270	15
2005076	13
20051633	13
2005343	9
20051420	14
20051915	15
20051174	14
20051182	15
20051433	15
20051143	14
20051164	15
20051351	14
2005312	15
2005704	15
20051397	5
20051467	15
20051872	15
20051614	13
20051473	15
20051359	15
20051105	15
20051855	13
20051388	15
20051001	12
20051167	15
2005909	13
2005011	13
2005150	13
2005718	14
2005198	13
2005597	15
2005326	13
2005904	14
2005631	15
2005332	13
2005119	12
2005554	14
2005548	14
20051049	11
2005179	15
20051903	12
2005407	13
20051510	13
20051023	12
2005521	13
21053022	15
20051868	15
2005608	14
2005444	14
2005578	15
2005603	15
20051888	13
20051552	15
20051562	15
2005439	14
2005979	15
20051981	11
2005168	11
2005161	13
20051042	15
2005929	15
2005473	14
2005324	15
2005289	15
2005849	15
20051122	15
2005178	12
2005278	15
21053067	15
2005058	15
2005288	15
21053015	15
2005590	15
2005585	15
21053047	15
21053042	15
20051362	15
2005601	15
20051962	15
20051805	15
2005598	15
2005721	14
20051866	15
20051254	14
20051329	14
2005645	12
21053002	12
